customId	sourceMembers	selectedBehavior	requiredEffectsAndFolds	assets
MaxHelpingHand/ParallaxFadeOutController	ParallaxFadeOutController.Awake/Removed/SceneEnd; backdrop renderer	Registration cleanup and continued visibility of DoFadeIn parallax while fading after scene age1s.	Typed Parallax fade state replaces private access.	Existing selected parallax assets.
MaxHelpingHand/StylegroundFadeController	StylegroundFadeController; backdrop update/render hooks	Flag dictionaries, cleanup, forced visibility, fade calculation, intermediate target and spritebatch restoration.	Typed renderer/Parallax access; exact flag lists and1s fade intervals.	Selected stylegrounds and shared render target.
MaxHelpingHand/RainbowSpinnerColorAreaController	RainbowSpinnerColorAreaController; CrystalStaticSpinner.GetHue	Palette/geometry parsing, registration cleanup, area collision and timed position gradient.	Typed TryHue is outermost before original hue computation; selected unflagged palette.	Ordinary rainbow spinner presentation.
CollabUtils2/LobbyMapController	LobbyMapController; LobbyVisitManager; LobbyMapUI; ByteArray2D; ButtonHelper	Controller/marker parsing, registration, visited-point updates, input/HUD and SceneEnd.	Typed settings/save state and exact static map metadata replace discovery; required in-level map UI retained.	Map texture, GUI icons, mountain/player markers and UI audio.
CollabUtils2/LobbyMapMarker	LobbyMapMarker.ctor	Stores icon and position; deliberately inactive/invisible and consumed by controller/UI.	No invented direct Update/Render requirement for passive marker.	Exact marker icon.
CollabUtils2/LobbyMapWarp	LobbyMapWarp; LobbyMapUI teleport routine	Bench sprite/talk, activation/sit coroutine, locking/backpack/hair and same-SID reload/follower/spawn behavior.	Typed supported wipe replaces reflected construction; cross-SID path outside selected profiles.	Bench/warp presentation and original UI audio.
CollabUtils2/MiniHeart	AbstractMiniHeart; MiniHeart; ReturnToLobbyHelper	Collider/holdable, animation/light/bloom, smash/freeze/formation, follower collection/completion, input wait and cleanup.	Typed follower predicate and return route; beginner/noGhostSprite profile; snapshot/bus cleanup on interruption.	Original heart art/audio.
CollabUtils2/MiniHeartDoor	MiniHeartDoor; HeartGemDoor hooks	Exact level-set heart count, split-solid dimensions, approach/open and session/module persistence.	Typed open/skip state; beginner, visible and empty doorID.	Original heart-door presentation.
CollabUtils2/RainbowBerry	RainbowBerry; HoloRainbowBerry; RainbowBerryPerfectEffect; StrawberryHooks	Missing-silver hologram successor, ready hidden cutscene berry and combined collectible states.	Static exact silver metadata, tracked successor lifecycle, ghost sprite/light/bloom and perfect effect.	Original rainbow/hologram art and collection audio.
CollabUtils2/SilverBerry	SilverBerry; StrawberryHooks	Golden/particle setup, completion/death/furthest-room removal and temporary particle-global restoration.	Selected alwaysSpawn=false; typed sprite/collection/golden-death hooks.	Ordinary/ghost silver sprites and SC2020 audio events.
CollabUtils2/ChapterPanelTrigger	ChapterPanelTrigger; InGameOverworldHelper; ReturnToLobbyHelper; Session	Talk/enabling, in-level overworld, launch/continue, pause return, seven route fields and return timing.	Typed private-state adapters; separate normal durable state and ephemeral debug continuation; guarded saving/return modes.	Original chapter UI/dialog.
CollabUtils2/JournalTrigger	JournalTrigger; InGameOverworldHelper; OuiJournalCoverWithStickers	Talk, journal pages/progress, player/scene restoration and conditional stickers.	Static exact map/sticker metadata replaces discovery; top-level Stickers YAML matches desktop schema.	Journal/cover and selected sticker resources.
CollabUtils2/MiniHeartDoorUnlockCutsceneTrigger	MiniHeartDoorUnlockCutsceneTrigger; cutscene; AssistSkipConfirmUI	Awake door binding, heart check, persistent open ID, normal/skip camera/player/open cleanup.	Typed Assist/Variant confirmation and cancellation hooks.	Original door/UI/dialog/audio.
CollabUtils2/RainbowBerryUnlockCutsceneTrigger	RainbowBerryUnlockCutsceneTrigger; RainbowBerryUnlockCutscene	Awake berry match, hologram transfer, combined ID, spin/combine/particles/camera/freeze and normal/skip restoration.	Typed deferred cleanup including audio snapshot/bus; selected empty filter defaults.	Original combining assets and audio events.
LunaticHelper/CustomDust	CustomDust.ctor/Reset/Update/Render	Count/palette/RNG lifecycle, horizontal/vertical wind, wrapping and visibility/fade multipliers.	Explicit Create parser and standard backdrop flags/exclusions; no original module hook remains necessary.	Draw.Rect particles.
LunaticHelper/InvisibleLightSource	InvisibleLightSource.ctor	Actual BloomPoint and VertexLight components with authored alpha/radii/fades.	Exact White folds reflected named-color lookup to typed Color.White.	No sprite.
LunaticHelper/StrawberryWithReturn	StrawberryWithReturn; Strawberry.OnPlayer	Second PlayerCollider, ordinary collection, seed gate,0.3s coroutine, dead-player check and cassette flight to respawn.	Selected unwinged/no-node profile; preserve original Strawberry callback and ordinary module-independent behavior.	Vanilla strawberry and cassette-return audio.
JungleHelper/MossyWall	MossyWall.ctor/Update/Render	Seed-preserving moss images, thin segment colliders, ClimbBlocker, StaticMover/shake and disabled darkening.	Selected colors/directory; no Jungle lantern/forced lantern skin/cassette producer means final color and climb blocker remain.	JungleHelper/Moss top/mid/bottom images.
SJ2021/AllInOneMask	AllInOneMask; Mask; MaskHooks; StylegroundMaskRenderer	Selected style/bloom composition, ordered slices, clipping and behind-foreground render order.	Typed render hooks/targets; current-to-current grade and disabled lighting folds those derived masks; exact flags/scroll/renderer guard.	Selected styleground textures and vanilla bloom/render targets.
SJ2021/BloomMask	BloomMask; Mask; MaskHooks	Authored bloom base/strength interpolation over visible directional slices.	Typed bloom render stage and original standalone-before-derived ordering; no scrolling or entity renderer.	Vanilla bloom render targets.
SJ2021/StylegroundMask	StylegroundMask; StylegroundMaskRenderer	Tag selection, alpha interpolation, clipping and selected behind-foreground compositing.	Typed renderer hooks; exact fade directions, zero scroll and empty flag guard.	Selected tagged styleground assets.
SJ2021/GlowController	GlowController; LightingRenderer.BeforeRender	Four empty name lists cannot match entities; selected controller remains passive.	Typed orphan-light repair is retained separately; no reflection scan and no nonempty-list acceptance.	Existing vertex-light/bloom presentation.
SJ2021/StrawberryJamJar	StrawberryJamJar.ctor/Added; ChapterPanelTrigger	Completion-dependent empty/fill/full sprite state, fill sound and generated chapter-panel companion.	Typed module FilledJamJarSIDs and progression lookup; beginner/SetReturnToHere/allowSaving guarded; original target maps stay unmounted in K-J.	Beginner jar sprite bank and event:/sj21_jamjar-blue.
VortexHelper/AttachedJumpThru	AttachedJumpThru.ctor/Awake/OnShake; JumpThru	Initial depth-60, selected wood texture, repeated static-mover attachment, movement/lift/shake/enable/disable propagation.	Typed attached-platform access and actual JumpThru override; selected Xaphan solid attachment excludes MoveBlock dynamic-speed exception.	Vanilla wood jumpthru and surface sounds.
YetAnotherHelper/BubbleField	BubblePushField; bubble particle component	Horizontal wind-mover ramps, player bounds/state handling and stochastic moving bubble components.	Left/Right, strength1.5, Always, liftOffOfGround and makeWind; typed Player fields replace dynamic access.	particles/YetAnotherHelper/bubble_a and bubble_b.
ContortHelper/MadelineSpotlightModifierTrigger	MadelineSpotlightModifierTrigger; AbstractTrigger	OnEnter retains initial zero-yield, reacquires live player and attaches CubeInOut tween with iterative light interpolation.	White, empty flags, zero delay, repeatable/nonpersistent enter profile; typed VertexLight access and dead-player checks.	Existing player VertexLight.
DJMapHelper/colorGradeTrigger	ColorGradeTrigger.ctor/OnEnter; exact frozen DJMapHelper assembly	Original distributed static trigger sets selected level color grade through preserved reviewed API.	Exact DLL transformation/AOT identity; selected assembly global hooks stay in existing static HookGen/IL framework with configured order.	Selected vanilla color-grade LUTs.
ExtendedVariantMode/FloatExtendedVariantFadeTrigger	FloatExtendedVariantFadeTrigger; BackgroundBrightness	Position interpolation changes the typed BackgroundBrightness session field and background render opacity.	Exact BackgroundBrightness, revertOnDeath=false and three selected position modes; bounded render target and unload cleanup replace arbitrary variant registry.	Shared black-mask render target and existing background.
ExtendedVariantMode/ResetVariantsTrigger	ResetVariantsTrigger; BackgroundBrightness	OnEnter with extended=true restores BackgroundBrightness to1; selected empty map-override lists leave saved Assist Mode settings untouched.	Explicit callback integration for Frost OnSpawnActivator; no whole ExtendedVariantMode module compatibility claim.	Existing background presentation.
everest/flagTrigger	Everest FlagTrigger.ctor/Awake/OnEnter/OnLeave	Default-false state, enter/leave/level-start mode, death-count predicate and only-once behavior; source callbacks do not change PlayerIsInside.	Pinned Everest source lowered through typed Session.SetFlag; all original attribute profiles checked.	No custom asset.
everest/smoothCameraOffsetTrigger	Everest SmoothCameraOffsetTrigger.ctor/OnStay/OnLeave	Scaled camera offsets, positional interpolation and selected leave/only-once behavior.	Pinned Everest typed entity; shared Max flag component composes through actual creator.	No custom asset.
vitellary/bloomstrengthtrigger	BloomStrengthTrigger.ctor/OnStay	Clamped position interpolation changes actual Level.Bloom.Strength.	Exact from/to values and three selected position modes; direct typed bloom access.	Vanilla bloom renderer.
vitellary/editdepthtrigger	EditDepthTrigger.ctor/Added	Source selected initial overlap scan changes target entity depth.	Typed identities for FancySolidTiles/FlagExitBlock replace name discovery; debug=false and updateOnEntry=false; exact negative/positive depths.	Existing target entity presentation.
vitellary/triggertrigger	TriggerTrigger.ctor/Awake/Update/ActivateTriggers	Holdable entry, original node scan/fallback including duplicate targets, target suppression,0.4s uncanceled alarms and one-use behavior.	Select unfiltered targets first then require actual RumbleTrigger and Everest FlagTrigger; typed holdable tracking and transition cleanup.	Original rumble/flag effects and audio.
